,Council,TaxRate,Pay,Details,Name,Title,Population,AdjustedPay,ProportionAsPay
42,Cambridge,166.57,134399,"Salary £113,252; Expenses £82; Pension Contribution £21,065. Started 10 June 2009",A Jackson,Chief Executive,121100.0,1.10981833196,6.66277440089
43,Cambridgeshire,1047.78,233200,"Salary £195,966; Pension Contribution £37,234",Mark Lloyd,Chief Executive,607000.0,0.384184514003,0.366665248433
44,Camden,1021.77,236869,"Salary £199,961; Bonus £5,000; Pension £31,908",Gib M,Chief Executive,231200.0,1.02451989619,1.00269130645
45,Cannock Chase,216.13,138367,"Salary £114,823; Benefits £963; Pension £22,581",,Chief Executive,94500.0,1.4642010582,6.7746312784
46,Canterbury,189.58,161000,"Salary £135,000; Pension £26,000",,Chief Executive,149100.0,1.07981220657,5.69581288413
47,Cardiff,1060.88,124492,"Salary £102,886; Pension £21,606 - started 1st Sept 2010",Jonathan House,Chief Executive,336200.0,0.370291493159,0.349041826747
48,Cardiff,1060.88,139575,"Salary £88,188; Compensation £32,868; Pension £18,519. Left on voluntary leave 30 September 2010 on annual salary of £176,376",Trefor Thomas Morgan,Chief Executive,336200.0,0.415154669839,0.391330470778
50,Carlisle,206.03,131000,"Salary £104,000; Benefits £9,000; Pension £18,000",,Chief Executive,104700.0,1.2511938873,6.07287233557
51,Carmarthenshire,1144.76,189178,"Salary £165,349; Expenses £2,234; Pension £21,595",M V James,Chief Executive,180800.0,1.04633849558,0.914024333114
52,Castle Point,237.99,180200,"Salary £159,873; Pension £20,327",David Marchant,Chief Executive,89200.0,2.0201793722,8.48850528256
53,Ceredigion,1097.25,122797,"Salary £105,523; Benefits £1,257; Pension £16,017",,Chief Executive,76400.0,1.60729057592,1.46483533918
54,Charnwood,173.26,138663,"Salary £115,735; Benefits £508; Pension £22,420",,Chief Executive,165000.0,0.840381818182,4.85040873936
55,Chelmsford,195.85,131347,"Salary £129,444; Pension £617; Benefits £1,286",S Packham,Chief Executive,167800.0,0.782759237187,3.99672829812
56,Cheltenham,190.88,138066,"Salary £108,083; Expenses £1,347; Benefits £1,267; Other Payments £10,061; Pension £17,308",,Chief Executive,113900.0,1.21216856892,6.350422092
57,Cherwell,203.18,112420,"Salary £81,458; Fees £5,917; Any other emoluments £44; Expenses £6,310; Pension £18,691. Left 16 January 2011",,Chief Executive,139200.0,0.807614942529,3.97487421266
58,Chesterfield,151.32,124630,"Salary £103,503; Benefits £468; Pension £20,659",,Chief Executive,100900.0,1.23518334985,8.16272369714
59,Chichester,173.89,134536,"Salary £115,557; Benefits £5,574; Pension £13,405",,Chief Executive,112600.0,1.19481349911,6.87108803906
60,Chiltern,214.43,132061,"Salary £106,379; Expenses £306; Benefits £388; Pension £24,988",,Chief Executive,90900.0,1.45281628163,6.77524731441
61,Chorley,196.48,158004,"Salary £123,212; Expenses £11,628; Pension £23,164",,Chief Executive ,104800.0,1.50767175573,7.67341080886
62,Christchurch,175.64,182960,"Salary £63,999; Compensation £110,227; Pension £8,734",,Chief Executive,47000.0,3.89276595745,22.1633224633
63,Clackmannanshire,1148.0,118289,"Salary, fees & allowances £97,095; Returning Officer Fee £3,350; Pension contributions £17,224; Pension contributions as returning officer £620",Angela Leitch,Chief Executive,50500.0,2.34235643564,2.04038017042
64,Colchester,190.62,133813,"Salary, fees & allowances £118,372; Pension contributions £15,441",,Chief Executive,177100.0,0.755578769057,3.96379587167
65,Conwy,1049.64,139032,"Salary £114,435; Expense reimbursement £1,596; Pension contributions £23,001",,Chief Executive,111400.0,1.24804308797,1.18902012878
66,Conwy,1049.64,133319,"Salary £107,283; Expense reimbursement £4,472; Pension contributions £21,564",,Acting Chief Executive  (Formerly Corporate Director Resources),111400.0,1.19675942549,1.14016179404
67,Corby,180.31,123239,"Salary including fees & allowances £98,355; Pension contributions £24,884",,Chief Executive,55200.0,2.23259057971,12.3819565177
69,Coventry,1323.86,216854,"Salary (including fees & allowances) £186,301; Pension contributions £30,553",Martin Reeves,Chief Executive,312800.0,0.693267263427,0.523671130956
70,Craven,198.86,124998,"Salary, fees and allowances £95,000; Bonuses £4,500; Expense allowances and other benefits in kind £722; Pension contributions £24,776",,Chief Executive,55500.0,2.25221621622,11.3256372132
71,Crawley,187.83,135057,"Salary, fees & allowances £113,914; Benefits in kind £4,940; Pension contribution £16,203",,Chief Executive,105300.0,1.28259259259,6.82847570991
72,Croydon,1150.11,248362,"Basic salary £188,976; Returning officer fee £15,544; Pension contributions £43,842",Jon Rouse,Chief Executive,342800.0,0.72450991832,0.629948368695
73,Cumbria,1161.5,201941,"Salary £170,000; Benefits in kind £321; Pension contributions £31,620",Jill Stannard,Chief Executive,495000.0,0.407961616162,0.351236862817
75,Dacorum,180.66,153528,"Salary (including fees & allowances) £132,630; Expense allowances £317; Pension contributions £20,581",,Chief Executive,141600.0,1.08423728814,6.00153486182
76,Darlington,1153.15,187573,"Salary £156,720; Expenses allowances £1,860; Pension contributions £28,993",Ada Burns,Chief Executive,100400.0,1.86825697211,1.62013352306
77,Denbighshire,1232.31,160414,"Salary (including fees & allowances) £131,667; Pension contributions £28,747",,Chief Executive,96700.0,1.65888314374,1.34615733358
78,Derby,1127.21,188798,"Salary, fees and allowances £160,159; Expenses allowances £159; Pension contribution £28,480. Started 27 July 2009",A Wilkinson,Chief Executive,244100.0,0.773445309299,0.686159020324
79,Derbyshire,1077.22,178927,"Salary £151,056; Benefits £379; Pension contributions £27,492",Mr Nick Hodgson,Chief Executive,760200.0,0.235368324125,0.218496058489
80,Derbyshire Dales,228.78,148000,"Salary, fees and allowances £118,000; Benefit in kind £5,000; Pension contributions £25,000",,Chief Executive,70100.0,2.11126961484,9.22838366481
81,Devon,1116.36,172720,"Salary, fees and allowances £149,995; Expenses allowances £226; Pension contribution £22,499",,Chief Executive,747400.0,0.231094460797,0.207007113115
82,Doncaster,1122.83,158016,"Gross salary £132,120; Pension contribution £25,896. Started July 2010 on secondment from Kirklees Council. It was agreed between the authorities that Doncaster should includethe remuneration in their notes",R Vincent,Chief Executive,290100.0,0.544694932782,0.485108994934
83,Dorset,1168.29,201000,"Salary £164,000; Taxable expenses £1,000; Benefit in kind £5,000; Pension £31,000",David Jenkins,Chief Executive,404000.0,0.497524752475,0.425857237908
84,Dover,204.52,141000,"Salary (including fees & allowances) £121,000; Expense allowances (including fuel) £3,000; Pension contributions £17,000",,Chief Executive,106100.0,1.32893496701,6.49782401238
85,Dudley,1125.39,181000,"Salary £161,000; Pension contributions £20,000. The salary  included payments of £4,000 for additional duties which were recharged to the Black Country Consortium",J Polychronakis,Chief Executive,306600.0,0.590345727332,0.524569906727
86,Dundee City,1211.0,167114,"Salary, fees & allowances £138,743; Benefits other than in cash £2,704; Pension contributions £25,667. Started 1 October 2009",David K Dorward,Chief Executive,143400.0,1.16536959554,0.962320062376
87,Ealing,1059.93,183854,"Salary (including fees and allowances) £183,854. Started 25 November 2009",Martin Smith,Chief Executive,316600.0,0.580713834491,0.547879420803
88,East Ayrshire,1189.0,145638,"Salary, fees and allowances £123,213; Pension contributions £22,425",F Lees,Chief Executive,120200.0,1.21163061564,1.01903331845
89,East Cambridgeshire,185.59,158365,"Salary (including fees & allowances) £124,605; Expense allowances £786; Benefits in kind £8,676; Pension contribution £24,298",,Chief Executive,83900.0,1.88754469607,10.1705086269
90,East Devon,153.88,142453,"Salary, fees & allowances £121,303; Expense allowances £3,000; Pension contributions £18,150. Provides services to both this council and South Somerset district Council. Formerly employed by this council and 50% of the salary is recharged",,Chief Executive (Shared with South Somerset DC),132700.0,1.07349660889,6.9761931953
91,East Dorset,228.87,123632,"Salary £105,556; Other payments £1,845; Pension contributions £16,231. Began in post 1 August 2009",,Chief Executive,87600.0,1.41132420091,6.16648840352
92,East Dunbartonshire,1142.0,145386,"Salary, fees & allowances £119,223; Taxable expenses £834; Other remuneration £3,032; Pension contributions £22,297",Gerry Cornes,Chief Executive,104700.0,1.38859598854,1.21593344005
93,East Hertfordshire,219.94,155936,"Salary (inc expense allowance) 98,918; Benefits in kind £2,102; Pension contributions £54,916",,Chief Executive,137100.0,1.13738876732,5.1713593131
94,East Lindsey,142.58,157371,"Salary, fees and allowances £128,386; Expenses allowances £4,292; Pension contributions £24,693",Nigel Howells,Chief Executive,140800.0,1.11769176136,7.83905008671
95,East Lothian,1118.0,136203,"Salary, fees & allowances £113,096; Taxable expenses £699; Pension contributions £22,408",Alan Blackie,Chief Executive,96800.0,1.40705578512,1.25854721389
96,East Northamptonshire,188.09,132081,"Salary including fees & allowances £102,017; Expense allowances £216; Benefits in kind £4,758; Pension contributions £25,090",,Chief Executive,85000.0,1.55389411765,8.26143929846
97,East Renfrewshire,1126.0,123257,"Salary, fees and allowances £111,588; Expenses allowances £960; Pension contributions £10,709",Lorraine McMillan,Chief Executive,89200.0,1.38180493274,1.22718022445
98,East Riding of Yorkshire,1255.52,202000,"Salary, fees & allowances £170,000; Expense allowances £6,000; Pension contributions £26,000",Nigel Pearson,Chief Executive,337000.0,0.59940652819,0.477416949304
99,East Staffordshire,217.18,151439,"Salary (including fees & allowances) £115,983; Contractual re-location expenses £15,551; Benefits in kind £1,113; Pension contributions £18,792",,Chief Executive,108800.0,1.39190257353,6.40898136813
100,East Sussex,1158.3,198747,"Salary, fees and allowances £166,874; Pension contributions £31,873",Becky Shaw,Chief Executive,512100.0,0.388101933216,0.335061670738
101,East Sussex,1158.3,213716,"Salary, fees and allowances £15,092; Expenses allowances (incl benefits in kind) £70; Pension contributions £198,554. Employerês Pension Contributions includes 3 years Augmentation on retirement (with effect 30 April 2010) with a cost to the employer of £195,671.56 (This figure excludes normal employer contribution of £2,882.57)",Cheryl Miller,Chief Executive,512100.0,0.417332552236,0.360297463728
102,Eastbourne,224.19,128333,"Salary, fees and allowances £102,767; Expenses allowances £3,643; Pension contributions £21,923",,Chief Executive,96400.0,1.33125518672,5.9380667591
103,Eastleigh,188.34,127912,"Salary including fees & allowances £107,399; Pension contributions £20,513",,Chief Executive,120800.0,1.05887417219,5.6221417234
104,Eden,194.73,109943,"Salary £88,188; Expenses and allowances £4,901; Pension contributions £16,854",,Chief Executive,51800.0,2.12245173745,10.8994594436
105,Elmbridge,199.97,157877,"Salary (including fees & allowances) 122,982; Elections £7,229; Expenses allowances £8,853; Pension contributions £18,813",,Chief Executive (Head of Paid Services),130600.0,1.20885911179,6.04520233931
106,Enfield,1100.34,231604,"Salary, fees and allowances £189,528; Performance related pay £4,738; Expenses allowances £428; Pension contributions £36,911. Declined to accept the performance related pay to which they were entitled from 1 July 2010, although Annual Accounts include the figure reflecting full remuneration package entitlement",Rob Leak,Chief Executive,291200.0,0.795343406593,0.722816044671
107,Epping Forest,205.2,170660,"Salary (including fees & allowances; and Compensation for loss of employment) £162,904; Benefits in kind £1,816; Pension contributions £5,940. Left the post on 20 July 2010 and received compensation for loss of office of £73,764",Peter Haywood,Chief Executive,124000.0,1.37629032258,6.70706784883
108,Epping Forest,205.2,122819,"Salary (including fees & allowances) £105,066; Benefits in kind £3,989; Pension contributions £13,764",,Acting Chief Executive,124000.0,0.990475806452,4.8268801484
109,Erewash,171.54,134559,"Salary £110,234; Benefit in kind £1,286; Pension contribution £23,039",,Chief Executive,110900.0,1.21333633904,7.07319773256
110,Essex,1086.75,271060,"Salaries fees or allowances £233,000; Bonus payment £6,900; Expense allowances/benefits £815; Pension contributions £30,345. Shared by Brentwood Borough Council",Ms Joanna Killian,Chief Executive,1399000.0,0.193752680486,0.178286340452
111,Exeter,124.84,125816,"Remuneration £104,343; Expenses £83; Pension contributions £21,390",,Chief Executive,118800.0,1.05905723906,8.48331655765
112,Falkirk,1070.0,155912,"Salary, fees & allowances £129,062; Other amounts £2,894; Pension contributions £23,420; Returning Officer Duty £536",Mary Pitcaithly,Chief Executive,152500.0,1.02237377049,0.955489505133
113,Fareham,140.22,121835,"Salary (incl fees & allowances) £102,296; Pension contributions £19,539",,Chief Executive Officer,111500.0,1.09269058296,7.79268708429
114,Fenland,264.33,400616,"Gross salary £71,252; Compensation for loss of office £299,148; Benefits in kind £18,137; Pension contributions £12,079. Took early retirement on 1 September 2010, annualised salary £149,985",,Chief Executive A,91700.0,4.36876772083,16.5277029502
115,Fenland,264.33,141769,"Gross salary £117,256; Benefits in kind £2,000; Pension contributions £22,513. Started 25 May 2010, annualised salary £137,600",,Chief Executive B,91700.0,1.5460087241,5.84878267355
116,Fife,1118.0,199349,"Salary, fees & allowances £149,437; Returning officer fees £20,280; Pension contributions £29,632",Ronald Hinds,Chief Executive,363500.0,0.548415405777,0.490532563307
117,Flintshire,1115.2,171703,"Pensionable pay £140,264; Expense allowance £160; Pension contributions £31,279",,Chief Executive,149900.0,1.1454503002,1.02712544853
118,Forest Heath,210.21,121797,"Salary, fees & allowances £100,200; Benefits in kind £5,124; Expenses allowances £120; Pension contributions £16,353",,Chief Executive,62200.0,1.9581511254,9.31521395463
119,Fylde,203.66,122000,"Remuneration £103,000; Expense allowances £1,000; Pension contributions £18,000",,Chief Executive,76300.0,1.59895150721,7.85108272223
120,Gateshead,1443.32,252838,"Salary (including fees & allowances) £194,015; Expense allowances £13,756; Benefits in kind £11,750; Pension contributions £33,317",Roger Kelly,Chief Executive,190800.0,1.32514675052,0.918124013056
121,Gedling,153.41,170466,"Salary, fees & allowances £100,301; Benefits in kind £634; Compensation for loss of office £56,551; Pension contributions £12,980. Left  31 December 2010",,Chief Executive,112700.0,1.51256433008,9.8596201687
122,Glasgow City,1213.0,217419,"Salary, fees & allowances £166,780; Election duties £20,401; Pension contributions £30,238",George Black,Chief Executive,588500.0,0.369446049278,0.304572175827
123,Gloucester,186.32,132391,"Salary, fees & allowances £114,923; Pension contributions £17,468",,Chief Executive (Head of Paid Service),117300.0,1.12865302643,6.0576053372
124,Gloucestershire,1090.5,197317,"Salary, fees & allowances £161,235; Other taxable benefits £772; Pension contributions £35,310",Mr P Bungard,Chief Executive,589100.0,0.334946528603,0.307149498948
125,Gosport,202.81,105807,"Salary including allowances £92,165; Benefits in Kind £568; Pension contributions £13,074",,Chief Executive,80000.0,1.3225875,6.52131305162
126,Gravesham,171.86,153140,"Salary £113,025; Allowances £7,130; Expenses £64; Pension contributions £32,921",,Chief Executive,98800.0,1.55,9.0189689282
127,Greenwich,981.04,224817,"Salary £189,666.61; Pension contributions £35,150.04",M Ney,Chief Executive,226100.0,0.994325519682,1.01354228134
128,Guildford,166.37,150646,"Salary, fees & allowances £123,183; Lump sum in respect of car mileage, telephone etc. £1,642; Pension contributions £17,985; Car lease/other benefits £7,836",,Chief Executive,135700.0,1.11014001474,6.67271752563
129,Gwynedd,1190.38,131862,"Salary £108,264; Other payments £971; Pension contributions £22,627",,Chief Executive,118800.0,1.10994949495,0.932432916337
130,Hackney,998.45,203376,"Salary, fees & allowances  £177,956; Pension contributions £25,420; Annualised salary was £177,956 for 2010/11 and £177,956 for 2009/10.",Tim Shields,Chief Executive,216000.0,0.941555555556,0.943017232266
131,Halton,1139.08,194700,"Salary (including fees & allowances) £156,700; Benefits in kind £5,800; Pension contributions £32,200;  In 2010/11 the Chief Executiveês entitlement to performance related pay was£25,000. Mid-year the Chief Executive received £10,000 for achieving specified delivery milestones in respect of the Mersey Gateway project and the Hive project. This is included in the salary figure. At his own request, the Chief Executive voluntarily declined the remaining £15,000 of his entitlement and did not receive this part of his salary entitlement.",David Parr,Chief Executive,118700.0,1.64026958719,1.43999507251
132,Hambleton,119.88,149428,"Salary (including fees & allowances) £125,067; Car allowances £2,236; Pension contributions £22,125",,Chief Executive,87300.0,1.71166093929,14.27811928
133,Hampshire,1037.88,246980,"Salary (including fees & allowances) £207,372; Pension contributions £39,608",Andrew Smith,Chief Executive,1289400.0,0.191546455716,0.184555493618
134,Harborough,205.92,119792,"Salary, fees & allowances £98,480; Expenses allowances £2,622; Benefits in kind £594; Pension contributions £18,096",,Chief Executive,83400.0,1.43635491607,6.97530553646
135,Haringey,1184.32,236263,"Salary (inc fees & allowances) £189,890, Pension contributions £46,373",Mr K Crompton,Chief Executive,225500.0,1.04772949002,0.884667564528
136,Harlow,251.55,155306,"Salary (excluding fees & allowances) £138,050; Pension contributions £17,256",,Chief Executive,80600.0,1.92687344913,7.66000178546
137,Harrogate,228.46,142009,"Salary including fees & allowances £114,832; Benefits in kind £1,364; Pension contributions £25,813",,Chief Executive,157900.0,0.899360354655,3.93662065418
138,Harrow,1186.55,230822,"Salary (including fees & allowances) £194,617; Benefits in kind £1,348; Pension contributions £34,857",Michael Lockwood,Chief Executive,228100.0,1.01193336256,0.852836679921
139,Hart,210.35,122456,"Salary including fees & allowances £98,840; Benefits in kind £4,738; Pension contributions £18,878",,Chief Executive,91200.0,1.34271929825,6.38326264914
140,Hartlepool,1419.64,196934,"Salary £168,795; Car allowances £963; Pension contributions £27,176",Paul Walker,Chief Executive,90900.0,2.16649064906,1.52608453486
141,Hastings,235.85,131402,"Salary (including fees & allowances) £102,888; Expense allowances £189; Benefits in kind £5,895; Pension contributions £22,430",,Chief Executive,86900.0,1.51210586881,6.41130323856
142,Havant,192.78,148875,"Salary (including fees & allowances) £125,000; Pension contributions £23,875;  This post is shared with East Hampshire DC and they contributed £81,424 towards the cost in 2010-11",,Chief Executive (shared with East Hampshire DC),116500.0,1.27789699571,6.62878408397
143,Havering,1195.18,208326,"Salary £163,920, Other payments £16,293; Pension contributions £28,113",C Coppell,Chief Executive,234100.0,0.889901751388,0.744575504433
144,Hertfordshire,1118.83,250118,"Salary £203,427; Benefits in kind £4,785; Pension contributions £41,906",C Tapster,Chief Executive,1095500.0,0.228314011867,0.204064971324
145,Hertsmere,180.18,187000,"Salary £145,000; Benefits in kind £2,000; Pension contributions £40,000",,Chief Executive,98900.0,1.89079878665,10.4939437599
146,Highland,1163.0,192025,"Salary, fees & allowances £148,549; Pension contributions £43,476. Figure for 2009-10 was taken from Town Hall Rich List 2011 and is simply salary fees and allowances.",Alistair Dodds,Chief Executive,220500.0,0.870861678005,0.748806257957
147,Hillingdon,1112.93,183250,"Pensionable pay £183,250; Pension contributions £0",H Dunnachie,Chief Executive,262500.0,0.698095238095,0.62725889148
148,Horsham,178.54,137306,"Salary, fees & allowances £122,429; Pension contributions £14,877",,Chief Executive,129800.0,1.05782742681,5.92487636838
149,Hounslow,1090.65,33388,"Salary £27,471; Pension contributions £5,917. Retired 31 May 2010",Mark Gilks,Chief Executive,234200.0,0.142561912895,0.130712797777
150,Huntingdonshire,195.66,201524,"Salary including allowances £149,410; Election fees £8,968; Benefits in kind £11,039; Pension contributions £32,107",David Monks,Chief Executive,165800.0,1.21546441496,6.21212519144
151,Inverclyde,1198.0,134854,"Gross salary £111,849; Election payments £2,780; Pension contributions £20,225",J Mundell,Chief Executive,80200.0,1.6814713217,1.40356537704
152,Ipswich,312.84,103614,"Salary (including fees & allowances) £91,678; Pension contributions £11,936",,Chief Executive,126600.0,0.818436018957,2.61614889067
153,Isle of Wight,1315.42,184116,"Salary £149,997; Expense allowances £1,120; Pension contributions £32,999",,Chief Executive,140200.0,1.3132382311,0.998341389897
154,Isles of Scilly,1030.14,104854,"Salary (including fees & allowances) £87,196; Election duties £250; Pension contributions £17,408",,Chief Executive,2200.0,47.6609090909,46.2664386306
155,Islington,961.87,223835,"Salary (including fees & allowances) £210,000; Pension contributions £0; Returning officer fees £13,834.75",John Foster,Chief Executive,191800.0,1.16702294056,1.21328551734
156,Kent,1047.78,439071,"Salary (including fees & allowances) £25,362; Other £407,851; Pension contributions £5,859;  Left May 2010. Annualised salary £214,423",Peter Gilroy,Chief Executive,1411100.0,0.311155127206,0.296966087543
157,Kettering,206.79,185000,"Salary (including fees & allowances) £148,000; Benefits in kind £1,000; Pension contributions £36,000",D Cook,Chief Executive,90100.0,2.05327413984,9.92927191762
158,Kingston upon Thames,1352.72,224000,"Salary (including fees & allowances) £179,000; Pension contributions £45,000",Bruce McDonald,Chief Executive,166700.0,1.34373125375,0.993355057772
