ORDER	Area	Local authority	ONS Code	Mid- 1999 population	Mid-2008 population	Components of change 2008-2009: Live births	Components of change 2008-2009: Deaths	Components of change 2008-2009: Natural change	Components of change 2008-2009: Net migration & other changes	"Total change, 2008-2009"	Mid-2009 population	% change 2008-2009	% change 1999 to 2009
46	NORTH WEST	Allerdale	16UB	94.1	94.3	1.0	1.1	-0.1	0.0	-0.1	94.3	0.0	0.2
47	NORTH WEST	Barrow-in-Furness	16UC	72.5	70.8	0.8	0.7	0.1	0.0	0.1	70.9	0.1	-2.2
48	NORTH WEST	Carlisle	16UD	101.2	105.1	1.2	1.1	0.1	-0.5	-0.4	104.7	-0.4	3.5
49	NORTH WEST	Copeland	16UE	69.9	70.0	0.7	0.7	0.0	-0.3	-0.3	69.7	-0.4	-0.3
50	NORTH WEST	Eden	16UF	49.2	51.7	0.5	0.5	-0.1	0.2	0.1	51.8	0.2	5.3
51	NORTH WEST	South Lakeland	16UG	101.4	104.0	0.9	1.2	-0.3	0.1	-0.2	103.8	-0.2	2.4
52	NORTH WEST	Greater Manchester (Met County)		"2,515.5"	"2,580.0"	36.7	24.6	12.1	8.9	20.9	"2,600.9"	0.8	3.4
53	NORTH WEST	Bolton	00BL	260.4	263.7	3.9	2.6	1.3	0.1	1.4	265.1	0.5	1.8
54	NORTH WEST	Bury	00BM	181.0	181.6	2.4	1.8	0.6	0.4	1.0	182.6	0.6	0.9
55	NORTH WEST	Manchester	00BN	416.4	473.2	7.8	3.9	3.9	6.8	10.6	483.8	2.2	16.2
56	NORTH WEST	Oldham	00BP	218.4	218.2	3.3	2.2	1.1	-0.5	0.6	218.8	0.3	0.2
57	NORTH WEST	Rochdale	00BQ	204.9	204.4	3.0	1.9	1.1	-0.8	0.3	204.7	0.1	-0.1
58	NORTH WEST	Salford	00BR	220.0	223.0	3.3	2.4	0.8	1.2	2.1	225.1	0.9	2.3
59	NORTH WEST	Stockport	00BS	285.8	282.5	3.4	2.7	0.7	0.5	1.2	283.7	0.4	-0.7
60	NORTH WEST	Tameside	00BT	213.6	214.4	2.9	2.3	0.6	0.4	1.0	215.4	0.5	0.8
61	NORTH WEST	Trafford	00BU	213.0	213.7	2.8	1.9	0.9	0.6	1.6	215.3	0.7	1.1
62	NORTH WEST	Wigan	00BW	302.0	305.4	3.9	2.9	1.0	0.2	1.1	306.5	0.4	1.5
63	NORTH WEST	Lancashire		"1,129.6"	"1,165.1"	13.8	12.1	1.7	-1.0	0.7	"1,165.8"	0.1	3.2
64	NORTH WEST	Burnley	30UD	90.3	86.0	1.2	1.0	0.3	-0.7	-0.4	85.6	-0.5	-5.2
65	NORTH WEST	Chorley	30UE	98.8	104.7	1.2	1.0	0.3	-0.1	0.1	104.8	0.1	6.1
66	NORTH WEST	Fylde	30UF	72.7	76.1	0.6	1.0	-0.4	0.6	0.3	76.3	0.3	5.0
67	NORTH WEST	Hyndburn	30UG	80.8	81.2	1.2	0.9	0.4	-0.5	-0.1	81.1	-0.1	0.4
68	NORTH WEST	Lancaster	30UH	134.6	139.5	1.4	1.5	0.0	0.3	0.3	139.8	0.2	3.9
69	NORTH WEST	Pendle	30UJ	87.8	89.1	1.3	0.9	0.5	-0.3	0.2	89.3	0.2	1.7
70	NORTH WEST	Preston	30UK	131.6	135.3	2.0	1.3	0.6	-1.4	-0.7	134.6	-0.5	2.3
71	NORTH WEST	Ribble Valley	30UL	53.1	57.8	0.5	0.6	-0.1	-0.1	-0.1	57.7	-0.2	8.7
72	NORTH WEST	Rossendale	30UM	65.3	66.7	0.8	0.7	0.1	0.3	0.4	67.1	0.6	2.8
73	NORTH WEST	South Ribble	30UN	103.2	107.5	1.3	1.0	0.3	0.4	0.7	108.2	0.7	4.8
74	NORTH WEST	West Lancashire	30UP	107.9	110.4	1.2	1.1	0.1	-0.3	-0.2	110.2	-0.2	2.1
75	NORTH WEST	Wyre	30UQ	103.5	110.8	1.0	1.4	-0.4	0.7	0.3	111.1	0.3	7.3
76	NORTH WEST	Merseyside (Met County)		"1,378.2"	"1,350.2"	16.0	14.7	1.4	-1.0	0.3	"1,350.6"	0.0	-2.0
77	NORTH WEST	Knowsley	00BX	151.8	149.7	1.9	1.4	0.5	-0.8	-0.4	149.4	-0.2	-1.6
78	NORTH WEST	Liverpool	00BY	448.4	441.1	5.6	4.5	1.1	0.1	1.2	442.3	0.3	-1.4
79	NORTH WEST	St. Helens	00BZ	176.8	176.7	2.1	1.9	0.2	0.2	0.4	177.1	0.2	0.2
80	NORTH WEST	Sefton	00CA	284.2	274.2	2.7	3.2	-0.5	-0.4	-0.9	273.3	-0.3	-3.8
81	NORTH WEST	Wirral	00CB	317.0	308.5	3.7	3.7	0.0	0.0	0.0	308.5	0.0	-2.7
82	YORKSHIRE & THE HUMBER	YORKSHIRE & THE HUMBER		"4,956.3"	"5,217.5"	65.9	49.8	16.1	24.5	40.6	"5,258.1"	0.8	6.1
83	YORKSHIRE & THE HUMBER	East Riding of Yorkshire UA	00FB	309.1	336.1	3.0	3.5	-0.5	1.4	1.0	337.0	0.3	9.0
84	YORKSHIRE & THE HUMBER	"Kingston upon Hull, City of UA"	00FA	255.9	261.1	3.6	2.5	1.1	0.2	1.3	262.4	0.5	2.5
85	YORKSHIRE & THE HUMBER	North East Lincolnshire UA	00FC	158.0	157.2	1.9	1.7	0.2	-0.3	0.0	157.1	-0.1	-0.6
86	YORKSHIRE & THE HUMBER	North Lincolnshire UA	00FD	152.0	160.5	1.9	1.6	0.3	0.2	0.5	161.0	0.3	5.9
87	YORKSHIRE & THE HUMBER	York UA	00FF	177.1	194.9	2.2	1.7	0.5	3.4	3.9	198.8	2.0	12.3
88	YORKSHIRE & THE HUMBER	North Yorkshire		562.0	593.5	5.9	6.0	0.0	4.2	4.2	597.7	0.7	6.4
89	YORKSHIRE & THE HUMBER	Craven	36UB	53.0	55.7	0.5	0.6	-0.1	-0.1	-0.2	55.5	-0.4	4.7
90	YORKSHIRE & THE HUMBER	Hambleton	36UC	83.4	86.9	0.8	0.8	0.0	0.4	0.4	87.3	0.5	4.7
91	YORKSHIRE & THE HUMBER	Harrogate	36UD	148.4	156.1	1.6	1.6	0.1	1.7	1.8	157.9	1.2	6.4
92	YORKSHIRE & THE HUMBER	Richmondshire	36UE	45.2	51.4	0.6	0.5	0.1	1.3	1.4	52.8	2.7	16.8
93	YORKSHIRE & THE HUMBER	Ryedale	36UF	50.1	53.3	0.4	0.5	-0.1	0.4	0.3	53.6	0.6	7.0
94	YORKSHIRE & THE HUMBER	Scarborough	36UG	106.9	108.5	1.1	1.3	-0.2	0.2	0.0	108.5	0.0	1.5
95	YORKSHIRE & THE HUMBER	Selby	36UH	74.9	81.6	0.9	0.7	0.3	0.3	0.6	82.2	0.7	9.7
96	YORKSHIRE & THE HUMBER	South Yorkshire (Met County)		"1,269.9"	"1,307.2"	16.4	12.9	3.5	6.6	10.1	"1,317.3"	0.8	3.7
97	YORKSHIRE & THE HUMBER	Barnsley	00CC	218.7	225.2	2.7	2.4	0.4	0.7	1.1	226.3	0.5	3.5
98	YORKSHIRE & THE HUMBER	Doncaster	00CE	286.9	289.3	3.8	2.9	0.9	-0.1	0.8	290.1	0.3	1.1
99	YORKSHIRE & THE HUMBER	Rotherham	00CF	247.9	252.9	3.2	2.6	0.6	0.4	1.0	253.9	0.4	2.4
100	YORKSHIRE & THE HUMBER	Sheffield	00CG	516.3	539.8	6.7	5.1	1.6	5.6	7.2	547.0	1.3	5.9
101	YORKSHIRE & THE HUMBER	West Yorkshire (Met County)		"2,072.3"	"2,207.0"	30.9	19.9	11.0	8.7	19.7	"2,226.7"	0.9	7.5
102	YORKSHIRE & THE HUMBER	Bradford	00CX	466.9	501.4	8.6	4.4	4.2	1.3	5.4	506.8	1.1	8.5
103	YORKSHIRE & THE HUMBER	Calderdale	00CY	191.2	200.1	2.6	1.9	0.7	0.8	1.5	201.6	0.7	5.4
104	YORKSHIRE & THE HUMBER	Kirklees	00CZ	385.3	403.6	5.8	3.8	1.9	1.2	3.2	406.8	0.8	5.6
105	YORKSHIRE & THE HUMBER	Leeds	00DA	714.9	779.3	9.9	6.5	3.4	5.1	8.4	787.7	1.1	10.2
106	YORKSHIRE & THE HUMBER	Wakefield	00DB	313.9	322.8	4.0	3.3	0.7	0.4	1.1	323.9	0.3	3.2
107	EAST MIDLANDS	EAST MIDLANDS		"4,152.4"	"4,429.4"	53.5	41.8	11.8	10.1	21.8	"4,451.2"	0.5	7.2
108	EAST MIDLANDS	Derby UA	00FK	231.3	243.2	3.5	2.3	1.3	-0.3	1.0	244.1	0.4	5.5
109	EAST MIDLANDS	Leicester UA	00FN	285.9	303.8	5.2	2.5	2.7	-1.7	1.0	304.7	0.3	6.6
110	EAST MIDLANDS	Nottingham UA	00FY	273.5	296.6	4.2	2.5	1.8	2.4	4.2	300.8	1.4	10.0
111	EAST MIDLANDS	Rutland UA	00FP	33.5	38.1	0.3	0.3	0.0	0.3	0.3	38.4	0.8	14.6
112	EAST MIDLANDS	Derbyshire		728.1	758.1	8.0	7.8	0.3	1.9	2.1	760.2	0.3	4.4
113	EAST MIDLANDS	Amber Valley	17UB	115.5	120.8	1.3	1.3	0.0	0.3	0.2	121.0	0.2	4.8
114	EAST MIDLANDS	Bolsover	17UC	70.7	74.3	0.8	0.8	0.0	-0.1	-0.1	74.2	-0.1	5.0
115	EAST MIDLANDS	Chesterfield	17UD	98.9	100.7	1.2	1.1	0.1	0.1	0.1	100.9	0.2	2.0
116	EAST MIDLANDS	Derbyshire Dales	17UF	69.7	70.0	0.5	0.7	-0.2	0.3	0.1	70.1	0.1	0.6
117	EAST MIDLANDS	Erewash	17UG	108.4	110.5	1.3	1.0	0.2	0.2	0.4	110.9	0.4	2.3
118	EAST MIDLANDS	High Peak	17UH	88.1	92.1	1.0	0.9	0.1	0.2	0.3	92.4	0.3	4.9
119	EAST MIDLANDS	North East Derbyshire	17UJ	97.1	97.9	0.9	1.0	-0.1	0.2	0.1	98.0	0.1	0.9
120	EAST MIDLANDS	South Derbyshire	17UK	79.7	91.8	1.1	0.8	0.2	0.8	1.0	92.8	1.1	16.4
121	EAST MIDLANDS	Leicestershire		601.6	641.5	6.7	5.4	1.3	1.9	3.2	644.7	0.5	7.2
122	EAST MIDLANDS	Blaby	31UB	88.4	93.5	1.0	0.7	0.3	-0.1	0.2	93.6	0.1	5.9
123	EAST MIDLANDS	Charnwood	31UC	153.0	163.3	1.7	1.4	0.4	1.3	1.7	165.0	1.0	7.8
124	EAST MIDLANDS	Harborough	31UD	73.9	82.7	0.8	0.7	0.1	0.5	0.6	83.4	0.8	12.9
125	EAST MIDLANDS	Hinckley and Bosworth	31UE	99.8	104.4	1.1	0.9	0.2	0.1	0.3	104.8	0.4	5.0
126	EAST MIDLANDS	Melton	31UG	47.0	48.7	0.5	0.4	0.1	0.1	0.1	48.9	0.4	4.0
127	EAST MIDLANDS	North West Leicestershire	31UH	84.2	90.5	1.0	0.8	0.2	0.0	0.2	90.6	0.1	7.6
128	EAST MIDLANDS	Oadby and Wigston	31UJ	55.2	58.5	0.5	0.5	0.0	0.1	0.1	58.5	0.0	6.0
129	EAST MIDLANDS	Lincolnshire		632.7	695.6	7.4	7.7	-0.2	2.5	2.3	697.9	0.3	10.3
130	EAST MIDLANDS	Boston	32UB	54.9	59.1	0.8	0.7	0.1	-0.2	-0.1	59.0	-0.2	7.5
131	EAST MIDLANDS	East Lindsey	32UC	126.9	140.8	1.3	1.9	-0.6	0.6	0.0	140.8	0.0	11.0
132	EAST MIDLANDS	Lincoln	32UD	84.7	88.0	1.3	0.9	0.4	0.0	0.4	88.5	0.6	4.5
133	EAST MIDLANDS	North Kesteven	32UE	90.1	105.0	1.1	1.1	0.0	0.6	0.6	105.7	0.7	17.3
134	EAST MIDLANDS	South Holland	32UF	74.4	83.9	0.8	1.0	-0.2	0.4	0.2	84.1	0.2	13.0
135	EAST MIDLANDS	South Kesteven	32UG	123.6	130.5	1.3	1.2	0.1	0.6	0.8	131.2	0.5	6.1
136	EAST MIDLANDS	West Lindsey	32UH	78.1	88.3	0.8	0.9	-0.1	0.4	0.3	88.6	0.3	13.4
137	EAST MIDLANDS	Northamptonshire		620.7	679.2	9.2	5.7	3.5	1.0	4.5	683.8	0.7	10.2
138	EAST MIDLANDS	Corby	34UB	53.0	54.5	0.9	0.5	0.4	0.3	0.7	55.2	1.3	4.2
139	EAST MIDLANDS	Daventry	34UC	68.9	78.1	0.9	0.6	0.3	0.5	0.7	78.9	1.0	14.5
140	EAST MIDLANDS	East Northamptonshire	34UD	73.7	84.7	1.0	0.8	0.2	0.1	0.3	85.0	0.4	15.3
141	EAST MIDLANDS	Kettering	34UE	80.9	89.3	1.2	0.8	0.4	0.3	0.7	90.1	0.9	11.4
142	EAST MIDLANDS	Northampton	34UF	195.7	208.8	3.3	1.7	1.6	0.2	1.8	210.5	0.8	7.6
143	EAST MIDLANDS	South Northamptonshire	34UG	77.6	88.2	0.9	0.6	0.3	0.0	0.3	88.5	0.3	14.0
144	EAST MIDLANDS	Wellingborough	34UH	71.0	75.6	1.0	0.6	0.3	-0.3	0.1	75.7	0.1	6.6
145	EAST MIDLANDS	Nottinghamshire		745.1	773.3	8.8	7.7	1.2	2.1	3.3	776.6	0.4	4.2
146	EAST MIDLANDS	Ashfield	37UB	109.7	115.7	1.5	1.2	0.3	0.4	0.7	116.4	0.6	6.1
147	EAST MIDLANDS	Bassetlaw	37UC	106.4	111.3	1.2	1.2	0.1	0.2	0.3	111.6	0.3	4.9
148	EAST MIDLANDS	Broxtowe	37UD	108.3	110.9	1.1	1.0	0.1	0.5	0.6	111.5	0.5	3.0
149	EAST MIDLANDS	Gedling	37UE	111.9	112.3	1.2	1.1	0.1	0.3	0.4	112.7	0.4	0.7
150	EAST MIDLANDS	Mansfield	37UF	99.4	99.8	1.4	1.0	0.3	-0.4	-0.1	99.7	-0.1	0.3
151	EAST MIDLANDS	Newark and Sherwood	37UG	105.3	112.5	1.3	1.2	0.1	0.4	0.5	113.0	0.4	7.3
152	EAST MIDLANDS	Rushcliffe	37UJ	104.1	110.8	1.2	1.0	0.1	0.7	0.9	111.7	0.8	7.3
153	WEST MIDLANDS	WEST MIDLANDS		"5,272.0"	"5,408.4"	71.1	51.4	19.7	3.0	22.7	"5,431.1"	0.4	3.0
154	WEST MIDLANDS	"Herefordshire, County of UA"	00GA	172.0	179.1	1.8	2.0	-0.2	0.2	0.0	179.1	0.0	4.1
155	WEST MIDLANDS	Shropshire UA	00GG	279.2	290.7	2.8	3.1	-0.3	1.4	1.2	291.8	0.4	4.5
161	WEST MIDLANDS	Stoke-on-Trent UA	00GL	244.1	239.3	3.7	2.6	1.1	-1.4	-0.4	238.9	-0.2	-2.1
162	WEST MIDLANDS	Telford and Wrekin UA	00GF	153.7	161.7	2.2	1.3	0.9	-0.3	0.6	162.3	0.4	5.6
163	WEST MIDLANDS	Staffordshire		803.7	827.0	9.0	8.0	1.0	0.7	1.7	828.7	0.2	3.1
164	WEST MIDLANDS	Cannock Chase	41UB	91.6	94.3	1.1	0.8	0.3	-0.1	0.3	94.5	0.2	3.2
165	WEST MIDLANDS	East Staffordshire	41UC	102.1	108.2	1.5	1.0	0.5	0.1	0.6	108.8	0.6	6.6
166	WEST MIDLANDS	Lichfield	41UD	93.5	98.0	1.0	1.0	0.0	0.3	0.3	98.3	0.3	5.1
167	WEST MIDLANDS	Newcastle-under-Lyme	41UE	122.2	124.2	1.3	1.3	0.0	0.0	0.0	124.2	0.0	1.6
168	WEST MIDLANDS	South Staffordshire	41UF	105.2	106.4	0.8	1.1	-0.2	0.2	-0.1	106.3	-0.1	1.0
169	WEST MIDLANDS	Stafford	41UG	121.6	125.2	1.3	1.2	0.1	0.1	0.2	125.5	0.2	3.2
170	WEST MIDLANDS	Staffordshire Moorlands	41UH	93.5	95.3	0.9	1.0	-0.1	0.2	0.0	95.4	0.1	2.0
171	WEST MIDLANDS	Tamworth	41UK	74.0	75.3	1.0	0.6	0.5	-0.1	0.4	75.7	0.5	2.3
172	WEST MIDLANDS	Warwickshire		499.6	533.2	6.1	5.0	1.2	0.7	1.9	535.1	0.4	7.1
173	WEST MIDLANDS	North Warwickshire	44UB	61.8	61.8	0.6	0.6	0.1	0.0	0.1	61.9	0.2	0.2
174	WEST MIDLANDS	Nuneaton and Bedworth	44UC	118.5	121.8	1.5	1.1	0.4	-0.2	0.2	122.0	0.2	3.0
175	WEST MIDLANDS	Rugby	44UD	86.2	92.7	1.2	0.9	0.3	0.3	0.6	93.3	0.6	8.2
176	WEST MIDLANDS	Stratford-on-Avon	44UE	110.2	118.7	1.2	1.2	0.0	0.2	0.2	118.9	0.2	7.9
177	WEST MIDLANDS	Warwick	44UF	123.0	138.2	1.6	1.2	0.4	0.4	0.8	139.0	0.6	13.0
178	WEST MIDLANDS	West Midlands (Met County)		"2,582.2"	"2,622.3"	39.4	24.0	15.4	1.0	16.4	"2,638.7"	0.6	2.2
179	WEST MIDLANDS	Birmingham	00CN	989.7	"1,019.2"	17.5	8.4	9.1	0.5	9.5	"1,028.7"	0.9	3.9
180	WEST MIDLANDS	Coventry	00CQ	304.8	310.5	4.5	2.8	1.7	0.6	2.3	312.8	0.7	2.6
181	WEST MIDLANDS	Dudley	00CR	304.9	306.3	3.6	3.0	0.6	-0.3	0.3	306.6	0.1	0.6
182	WEST MIDLANDS	Sandwell	00CS	286.1	288.7	4.7	3.0	1.7	0.5	2.3	291.0	0.8	1.7
183	WEST MIDLANDS	Solihull	00CT	200.2	204.3	2.1	1.7	0.4	0.4	0.8	205.2	0.4	2.5
184	WEST MIDLANDS	Walsall	00CU	255.8	255.1	3.7	2.5	1.1	-0.4	0.8	255.9	0.3	0.0
185	WEST MIDLANDS	Wolverhampton	00CW	240.7	238.1	3.3	2.5	0.8	-0.4	0.4	238.5	0.2	-0.9
186	WEST MIDLANDS	Worcestershire		537.4	555.3	6.1	5.5	0.6	0.7	1.3	556.5	0.2	3.6
187	WEST MIDLANDS	Bromsgrove	47UB	86.7	93.0	0.9	1.0	-0.1	0.5	0.4	93.4	0.4	7.7
188	WEST MIDLANDS	Malvern Hills	47UC	72.1	74.8	0.6	0.9	-0.3	0.4	0.1	75.0	0.3	4.0
189	WEST MIDLANDS	Redditch	47UD	78.3	78.8	1.1	0.7	0.5	-0.6	-0.1	78.7	-0.1	0.5
190	WEST MIDLANDS	Worcester	47UE	92.5	93.9	1.3	0.9	0.5	0.3	0.8	94.7	0.9	2.4
191	WEST MIDLANDS	Wychavon	47UF	110.9	116.5	1.1	1.1	0.0	0.2	0.2	116.7	0.2	5.2
192	WEST MIDLANDS	Wyre Forest	47UG	97.0	98.3	1.0	1.0	0.1	-0.2	-0.1	98.1	-0.2	1.1
193	EAST	EAST		"5,338.7"	"5,717.4"	71.1	51.9	19.1	30.1	49.3	"5,766.6"	0.9	8.0
194	EAST	Bedford UA	00KB	143.8	157.1	2.1	1.4	0.7	0.2	0.9	158.0	0.6	9.9
196	EAST	Central Bedfordshire UA	00KC	230.7	251.8	3.1	2.0	1.1	0.0	1.1	252.9	0.4	9.6
199	EAST	Luton UA	00KA	185.0	190.5	3.5	1.4	2.1	1.7	3.9	194.3	2.0	5.0
200	EAST	Peterborough UA	00JA	156.5	169.8	3.0	1.4	1.5	-0.1	1.4	171.2	0.8	9.4
201	EAST	Southend-on-Sea UA	00KF	162.9	163.1	2.3	1.9	0.4	0.8	1.2	164.2	0.7	0.8
202	EAST	Thurrock UA	00KG	139.5	155.2	2.4	1.1	1.3	0.7	2.0	157.2	1.3	12.7
203	EAST	Cambridgeshire		547.6	600.6	7.4	4.9	2.5	3.9	6.4	607.0	1.1	10.8
204	EAST	Cambridge	12UB	109.9	118.7	1.4	0.8	0.6	1.8	2.4	121.1	2.0	10.2
205	EAST	East Cambridgeshire	12UC	71.2	82.6	1.0	0.7	0.4	0.9	1.3	83.9	1.6	17.8
206	EAST	Fenland	12UD	82.3	91.6	1.1	1.0	0.1	0.0	0.0	91.7	0.1	11.4
207	EAST	Huntingdonshire	12UE	155.6	165.2	2.0	1.3	0.7	-0.1	0.6	165.8	0.4	6.6
208	EAST	South Cambridgeshire	12UG	128.6	142.4	1.8	1.1	0.7	1.4	2.1	144.5	1.5	12.4
209	EAST	Essex		"1,295.0"	"1,387.5"	16.0	12.7	3.3	8.1	11.5	"1,399.0"	0.8	8.0
210	EAST	Basildon	22UB	164.2	172.9	2.4	1.4	1.0	0.2	1.2	174.1	0.7	6.0
211	EAST	Braintree	22UC	129.0	142.4	1.7	1.3	0.4	-0.1	0.4	142.7	0.2	10.6
212	EAST	Brentwood	22UD	68.7	72.5	0.8	0.7	0.1	1.2	1.3	73.8	1.8	7.4
213	EAST	Castle Point	22UE	86.1	88.9	0.8	0.9	-0.1	0.4	0.3	89.2	0.3	3.6
214	EAST	Chelmsford	22UF	155.9	165.4	1.9	1.2	0.7	1.7	2.4	167.8	1.5	7.6
215	EAST	Colchester	22UG	154.7	174.3	2.1	1.3	0.8	2.1	2.8	177.1	1.6	14.5
216	EAST	Epping Forest	22UH	120.2	123.4	1.5	1.2	0.3	0.3	0.6	124.0	0.5	3.2
217	EAST	Harlow	22UJ	77.6	79.9	1.3	0.7	0.6	0.2	0.8	80.6	0.9	3.9
218	EAST	Maldon	22UK	57.5	62.5	0.6	0.5	0.1	0.3	0.4	62.9	0.6	9.4
219	EAST	Rochford	22UL	77.4	83.0	0.8	0.8	0.1	0.1	0.1	83.1	0.1	7.4
220	EAST	Tendring	22UN	135.7	147.8	1.3	2.1	-0.7	0.9	0.2	148.0	0.1	9.1
221	EAST	Uttlesford	22UQ	68.2	74.6	0.8	0.6	0.1	0.9	1.0	75.6	1.3	10.9
222	EAST	Hertfordshire		"1,024.0"	"1,083.9"	14.3	9.0	5.3	6.3	11.6	"1,095.5"	1.1	7.0
223	EAST	Broxbourne	26UB	84.8	89.6	1.2	0.6	0.6	0.0	0.5	90.2	0.7	6.4
224	EAST	Dacorum	26UC	137.0	139.9	1.9	1.2	0.7	1.1	1.8	141.6	1.2	3.4
225	EAST	East Hertfordshire	26UD	127.2	135.7	1.6	1.0	0.5	0.8	1.3	137.1	1.0	7.8
226	EAST	Hertsmere	26UE	93.6	97.9	1.3	1.0	0.3	0.7	1.0	98.9	1.0	5.7
227	EAST	North Hertfordshire	26UF	115.3	123.7	1.6	1.2	0.4	0.7	1.0	124.7	0.8	8.2
228	EAST	St Albans	26UG	128.1	135.2	2.0	1.0	1.0	1.0	2.0	137.2	1.5	7.1
229	EAST	Stevenage	26UH	78.5	80.5	1.1	0.6	0.4	0.1	0.5	81.0	0.6	3.2
230	EAST	Three Rivers	26UJ	82.7	87.1	1.0	0.7	0.3	0.8	1.1	88.1	1.1	6.5
231	EAST	Watford	26UK	80.0	82.5	1.4	0.7	0.7	0.6	1.3	83.8	1.6	4.8
232	EAST	Welwyn Hatfield	26UL	96.8	111.7	1.4	0.9	0.4	0.7	1.1	112.8	1.0	16.5
233	EAST	Norfolk		786.5	847.3	8.9	9.1	-0.2	6.2	6.0	853.4	0.7	8.5
234	EAST	Breckland	33UB	118.5	129.2	1.4	1.4	0.0	0.7	0.7	129.9	0.5	9.6
235	EAST	Broadland	33UC	116.8	122.7	1.1	1.4	-0.3	0.6	0.3	123.0	0.2	5.3
236	EAST	Great Yarmouth	33UD	90.0	95.9	1.1	1.1	0.0	0.4	0.4	96.3	0.4	7.0
237	EAST	King's Lynn and West Norfolk	33UE	133.7	142.6	1.6	1.6	0.0	0.4	0.4	143.0	0.3	7.0
238	EAST	North Norfolk	33UF	97.7	101.5	0.8	1.3	-0.5	0.2	-0.3	101.2	-0.3	3.6
239	EAST	Norwich	33UG	121.2	137.3	1.9	1.1	0.7	2.2	2.9	140.1	2.0	15.6
240	EAST	South Norfolk	33UH	108.6	118.1	1.1	1.2	-0.1	1.7	1.6	119.7	1.4	10.2
241	EAST	Suffolk		667.3	710.6	8.1	7.0	1.1	2.3	3.4	714.0	0.5	7.0
242	EAST	Babergh	42UB	82.1	86.0	0.8	0.9	-0.1	-0.1	-0.2	85.8	-0.2	4.5
